水泥品种,水泥强度,粉煤灰种类-依据地区,混凝土级配,水灰比,水泥用量（kg/m3）,粉煤灰掺量（%）,砂率,减水剂种类,减水剂掺量（%）,引气剂种类,引气剂掺量（%）,混凝土温度,R28（已整合）
3,52.5,12,4,0.55,92,61,25,10,0.5,2,1.35,8,18.5
3,52.5,16,4,0.55,98,65,29,10,0.7,2,0.8,7,18.5
3,52.5,16,4,0.55,92,61,25,10,0.5,2,1.1,6.3,18.5
3,42.5,18,4,0.55,96,64,28,4,0.6,1,3.5,12,18.5
3,42.5,18,3,0.55,108,72,34,4,0.6,1,3.5,7,18.5
3,42.5,17,3,0.5,130,70,33,4,0.6,1,4,7,18.5
3,42.5,15,3,0.55,103,68,31,10,0.6,2,0.65,8,18.5
3,42.5,7,4,0.48,125,54,26,4,0.6,1,2.5,10,18.5
3,42.5,7,4,0.5,111,60,26,4,0.6,1,2.5,10,18.5
3,42.5,18,4,0.5,91,75,27,4,0.6,1,3.5,7,18.5
3,52.5,17,4,0.55,96,40,27,10,0.6,2,0.65,7.8,18.6
3,52.5,11,4,0.55,96,64,30,2,0.7,2,0.75,7.7,18.6
3,52.5,17,3,0.5,75,91,34,10,0.6,1,3.5,11,18.6
3,52.5,15,4,0.5,111,60,24,10,0.6,2,0.7,4,18.6
3,42.5,15,4,0.55,92,61,27,10,0.6,2,0.8,7,18.6
3,42.5,15,4,0.55,92,61,27,10,0.6,2,0.8,9,18.6
3,42.5,17,4,0.5,91,75,27,4,0.6,1,4.5,7,18.6
3,42.5,15,4,0.55,100,67,27,10,0.6,1,1.4,11,18.6
3,42.5,18,4,0.5,113,61,27,4,0.6,1,2,6.5,18.6
3,42.5,18,3,0.55,107,71,31,10,0.6,1,1.5,10,18.6
3,52.5,14,4,0.55,123,30,29.5,10,0.5,2,0.6,7.2,18.7
3,52.5,11,4,0.55,96,64,28,2,0.6,2,0.8,7,18.7
3,52.5,2,4,0.55,92,61,27,2,0.6,2,0.7,15,18.7
3,42.5,15,4,0.55,92,61,27,10,0.6,1,3.5,10,18.7
3,42.5,17,4,0.5,113,61,27,4,0.6,1,3,4,18.7
3,42.5,15,4,0.55,92,61,27,10,0.6,2,0.8,9,18.7
3,42.5,18,3,0.55,108,72,34,4,0.6,1,3.4,10,18.7
3,42.5,18,3,0.5,124,66,30,4,0.6,1,3,6.5,18.7
3,42.5,18,4,0.5,91,75,27,4,0.6,1,5.2,5.5,18.7
3,52.5,16,4,0.5,108,72,26,10,0.6,2,0.8,11.5,18.8
3,52.5,17,4,0.55,94,63,26,10,0.5,2,1.1,6.1,18.8
3,42.5,18,3,0.55,108,72,34,10,0.6,1,1,12,18.8
3,42.5,17,4,0.5,113,61,27,4,0.6,1,2.7,7,18.8
3,42.5,7,4,0.5,111,60,26,4,0.6,1,3,11,18.8
3,52.5,3,4,0.55,98,65,28,10,0.7,2,0.6,3.4,18.9
3,52.5,3,3,0.5,70,96,33,2,0.5,2,5,11.2,18.9
3,52.5,18,4,0.55,96,63,29,10,0.7,2,1.45,10.5,18.9
3,42.5,18,4,0.55,96,64,28,4,0.6,1,3,14.5,18.9
3,42.5,18,4,0.55,96,64,28,4,0.6,1,3,5.5,18.9
3,42.5,15,3,0.55,111,74,31,10,0.6,1,1.3,17,18.9
3,42.5,15,3,0.55,111,74,31,10,0.6,1,1.5,11,18.9
3,42.5,15,4,0.55,94,63,27,10,0.6,1,1.4,10.5,18.9
3,52.5,13,4,0.55,98,65,29,10,0.7,2,0.75,17.6,19
3,52.5,11,3,0.55,117,78,34,2,0.6,2,0.9,11,19
3,42.5,17,4,0.55,92,61,27,4,0.6,1,3,6,19
3,42.5,15,4,0.55,96,64,27,10,0.6,1,3.5,6,19
3,42.5,18,4,0.5,91,75,27,4,0.6,1,3.6,5,19
3,42.5,15,4,0.55,92,61,27,10,0.6,2,0.7,13,19
3,42.5,18,3,0.55,108,72,34,4,0.6,1,3.4,5,19
3,42.5,15,4,0.55,94,63,27,10,0.6,1,1.3,14,19
